년도,학교명,설립유형,지역명,입학정원,졸업생수,전임교원수,재학생,신입생경쟁률,신입생충원율,취업률,외국인학생수,전임교원1인당학생수,전임교원확보율,전임교원강의담당비율,학생1인당연간장학금,연평균등록금,학생1인당교육비,기숙사수용율,학생1인당도서자료수
2022,순천대학교,국립,전남,1658 ,1560 ,323 ,6466 ,5.4 ,91.4 ,58.0 ,263 ,25.25 ,88.22 ,70.9 ,2807408.6 ,3949.9 ,17313.3 ,28.4 ,107.0 
2022,순천향대학교,사립,충남,2352 ,2553 ,930 ,10517 ,8.2 ,99.9 ,67.7 ,946 ,12.27 ,158.16 ,66.2 ,4025525.3 ,7830.4 ,22311.9 ,41.2 ,74.2 
2022,숭실대학교,사립,서울,2700 ,3346 ,510 ,13864 ,13.8 ,99.8 ,68.7 ,2056 ,27.91 ,64.64 ,60.6 ,3078858.3 ,7933.4 ,14194.8 ,11.5 ,71.9 
2022,신라대학교,사립,부산,1846 ,2111 ,309 ,7550 ,4.9 ,72.6 ,58.8 ,383 ,30.04 ,82.40 ,74.6 ,3656229.9 ,6749.2 ,10785.6 ,15.8 ,82.7 
2022,신한대학교-제2캠퍼스,사립,경기,1087 ,1169 ,138 ,4917 ,11.4 ,100.0 ,69.6 ,570 ,32.30 ,61.33 ,67.8 ,4012536.0 ,8595.1 ,0.0 ,5.5 ,0.0 
2022,신한대학교,사립,경기,318 ,318 ,88 ,1316 ,9.1 ,100.0 ,76.6 ,27 ,19.74 ,102.33 ,77.6 ,4175063.0 ,9120.2 ,13006.3 ,53.9 ,70.7 
2022,아신대학교,사립,경기,160 ,146 ,54 ,410 ,0.7 ,30.6 ,0.0 ,3 ,35.19 ,105.88 ,66.6 ,5505724.4 ,6569.9 ,9996.7 ,31.1 ,123.3 
2022,아주대학교,사립,경기,1876 ,2517 ,747 ,9705 ,17.5 ,99.9 ,72.4 ,925 ,18.41 ,99.47 ,68.2 ,3149467.5 ,8262.0 ,24883.6 ,31.8 ,84.9 
2022,안동대학교,국립,경북,1411 ,1313 ,272 ,4900 ,4.2 ,79.8 ,54.7 ,26 ,26.21 ,100.00 ,68.7 ,3178030.0 ,3751.2 ,18500.7 ,32.0 ,139.7 
2022,안양대학교,사립,경기,1009 ,1014 ,165 ,4283 ,9.5 ,99.6 ,62.9 ,37 ,31.12 ,73.99 ,70.8 ,3413101.9 ,7577.5 ,12981.6 ,1.9 ,97.8 
2022,안양대학교-제2캠퍼스,사립,인천,142 ,46 ,29 ,294 ,4.7 ,96.5 ,54.7 ,0 ,19.31 ,181.25 ,71.5 ,2925289.3 ,7881.0 ,0.0 ,78.2 ,0.0 
2022,연세대학교,사립,서울,3457 ,4351 ,1731 ,19239 ,10.7 ,99.7 ,71.4 ,4084 ,17.52 ,96.60 ,53.2 ,3565692.7 ,9152.1 ,36215.3 ,35.7 ,93.0 
2022,연세대학교(미래),사립,강원,1319 ,1781 ,400 ,6905 ,10.8 ,99.8 ,69.4 ,450 ,17.68 ,94.79 ,58.3 ,3260915.9 ,8451.3 ,22663.6 ,59.1 ,77.0 
2022,영남대학교,사립,경북,4587 ,5009 ,948 ,20009 ,6.5 ,99.9 ,52.1 ,846 ,24.82 ,84.57 ,64.9 ,3708260.8 ,7458.3 ,14187.5 ,14.0 ,82.1 
2022,영남신학대학교,사립,경북,115 ,106 ,26 ,395 ,1.5 ,87.0 ,57.1 ,22 ,36.38 ,76.47 ,67.1 ,4306170.7 ,6166.0 ,9282.3 ,53.7 ,191.4 
2022,영산대학교,사립,경남,575 ,571 ,102 ,2265 ,5.1 ,77.7 ,67.9 ,15 ,25.67 ,90.27 ,69.5 ,3909564.3 ,6762.1 ,11628.0 ,34.2 ,77.0 
2022,영산대학교-제2캠퍼스,사립,부산,831 ,843 ,135 ,3572 ,3.6 ,87.7 ,66.0 ,493 ,26.91 ,75.84 ,68.6 ,3494149.9 ,6412.2 ,0.0 ,21.2 ,0.0 
2022,영산선학대학교,사립,전남,50 ,6 ,11 ,38 ,0.2 ,16.0 ,0.0 ,3 ,18.18 ,550.00 ,100.0 ,3062121.2 ,2000.0 ,33721.5 ,310.5 ,1527.6 
2022,예수대학교,사립,전북,115 ,132 ,20 ,529 ,6.5 ,100.0 ,79.5 ,0 ,25.40 ,71.43 ,83.4 ,3808752.6 ,6816.1 ,11108.2 ,15.7 ,85.6 
2022,예원예술대학교-제2캠퍼스,사립,경기,89 ,85 ,20 ,364 ,5.6 ,94.4 ,50.8 ,14 ,26.25 ,60.61 ,70.4 ,2735395.3 ,8408.6 ,0.0 ,29.7 ,0.0 
2022,예원예술대학교,사립,전북,186 ,177 ,53 ,1062 ,3.3 ,98.9 ,61.7 ,506 ,16.81 ,92.98 ,49.5 ,3271137.0 ,8159.9 ,5724.4 ,0.0 ,22.0 
2022,용인대학교,사립,경기,1262 ,1347 ,203 ,5444 ,9.7 ,99.8 ,68.2 ,346 ,32.18 ,69.05 ,68.9 ,3438310.2 ,7684.1 ,10709.1 ,11.5 ,70.2 
2022,우석대학교,사립,전북,1735 ,1488 ,302 ,6893 ,4.9 ,78.8 ,65.5 ,721 ,26.33 ,74.94 ,77.2 ,3318131.5 ,6938.0 ,12173.8 ,27.7 ,99.7 
2022,우송대학교,사립,대전,2004 ,2234 ,305 ,9417 ,7.7 ,99.8 ,69.1 ,1957 ,27.39 ,63.41 ,60.5 ,3851782.9 ,7214.4 ,11165.3 ,20.4 ,63.5 
2022,울산과학기술원,특별법법인,울산,400 ,561 ,324 ,1754 ,13.9 ,102.0 ,70.6 ,141 ,17.66 ,125.10 ,82.5 ,6051373.5 ,6200.3 ,69270.0 ,78.9 ,66.8 
2022,울산대학교,사립,울산,2748 ,2962 ,1131 ,11361 ,5.1 ,98.8 ,55.6 ,402 ,12.53 ,161.57 ,55.8 ,2937520.8 ,7336.9 ,21180.0 ,20.9 ,74.6 
2022,원광대학교,사립,전북,3230 ,3674 ,732 ,13206 ,5.1 ,88.0 ,64.7 ,117 ,23.27 ,91.61 ,70.0 ,3425453.9 ,7493.1 ,13835.2 ,26.6 ,99.0 
2022,위덕대학교,사립,경북,756 ,598 ,112 ,2617 ,2.7 ,91.4 ,67.0 ,154 ,32.21 ,84.21 ,82.4 ,4194245.0 ,7345.7 ,11200.6 ,23.7 ,99.0 
2022,유원대학교,사립,충북,875 ,804 ,127 ,3331 ,4.7 ,99.8 ,67.6 ,324 ,29.02 ,79.87 ,62.7 ,4267847.8 ,7292.3 ,10347.3 ,37.2 ,124.6 
2022,을지대학교-제3캠퍼스,사립,경기,192 ,116 ,21 ,600 ,13.0 ,100.0 ,0.0 ,0 ,47.57 ,37.50 ,75.6 ,3896761.5 ,8227.8 ,0.0 ,25.8 ,0.0 
2022,을지대학교-제2캠퍼스,사립,경기,827 ,1035 ,124 ,3386 ,11.6 ,100.0 ,77.6 ,8 ,27.19 ,75.15 ,72.5 ,3464279.5 ,8405.5 ,0.0 ,14.8 ,0.0 
2022,을지대학교,사립,대전,40 ,49 ,317 ,281 ,15.5 ,100.0 ,87.3 ,3 ,0.76 ,1093.10 ,89.4 ,3928856.6 ,10387.7 ,22366.7 ,16.7 ,52.6 
2022,이화여자대학교,사립,서울,3127 ,3935 ,989 ,15281 ,8.8 ,99.6 ,64.9 ,1353 ,23.18 ,90.07 ,52.3 ,3319625.4 ,8690.0 ,19398.2 ,22.4 ,80.9 
2022,인제대학교-제2캠퍼스,사립,부산,0 ,0 ,0 ,0 ,0.0 ,0.0 ,0.0 ,0 ,0.00 ,0.00 ,0.0 ,0.0 ,0.0 ,0.0 ,13.5 ,0.0 
2022,인제대학교,사립,경남,1895 ,2107 ,967 ,7857 ,4.3 ,75.1 ,66.1 ,309 ,10.99 ,192.63 ,68.5 ,3508535.8 ,7261.4 ,17741.0 ,25.8 ,94.6 
2022,인천가톨릭대학교,사립,인천,13 ,22 ,19 ,55 ,1.5 ,92.3 ,0.0 ,2 ,6.37 ,475.00 ,71.7 ,7424701.5 ,5340.0 ,14470.4 ,27.0 ,169.4 
2022,인천가톨릭대학교-제2캠퍼스,사립,인천,153 ,149 ,26 ,643 ,6.8 ,100.0 ,73.1 ,0 ,32.42 ,68.42 ,56.5 ,3014307.7 ,8251.2 ,0.0 ,0.0 ,0.0 
2022,인천대학교,국립,인천,2492 ,3039 ,490 ,11342 ,9.3 ,100.0 ,67.0 ,352 ,24.57 ,80.99 ,58.8 ,3175316.0 ,4632.1 ,17315.0 ,25.9 ,102.1 
2022,인하대학교,사립,인천,3543 ,4164 ,859 ,17175 ,13.7 ,99.9 ,69.8 ,1664 ,22.31 ,83.40 ,64.1 ,3122474.3 ,7711.1 ,17512.4 ,13.1 ,80.1 
2022,장로회신학대학교,사립,서울,150 ,178 ,80 ,616 ,2.1 ,100.0 ,0.0 ,2 ,37.48 ,67.23 ,62.1 ,4295243.8 ,6615.2 ,11060.3 ,32.6 ,190.6 
2022,전남대학교,국립,광주,3417 ,3895 ,1139 ,16017 ,8.2 ,99.9 ,59.5 ,823 ,19.52 ,93.36 ,60.7 ,2693220.0 ,4167.6 ,21485.6 ,22.5 ,81.5 
2022,전남대학교-제2캠퍼스,국립,전남,831 ,499 ,146 ,2749 ,4.5 ,95.8 ,57.0 ,89 ,23.38 ,110.61 ,70.6 ,2921127.4 ,4089.9 ,0.0 ,34.9 ,0.0 
2022,전북대학교,국립,전북,3848 ,4231 ,1083 ,17561 ,7.9 ,99.6 ,59.1 ,1053 ,19.84 ,92.96 ,59.1 ,2717698.6 ,4415.2 ,19624.9 ,25.1 ,85.3 
2022,전주대학교,사립,전북,2557 ,2449 ,367 ,11256 ,4.7 ,97.7 ,58.0 ,965 ,31.16 ,64.73 ,75.4 ,3636818.9 ,7015.3 ,12985.6 ,17.0 ,59.0 
2022,제주국제대학교,사립,제주,370 ,258 ,58 ,518 ,0.5 ,16.2 ,66.8 ,96 ,38.67 ,165.71 ,68.7 ,3229936.0 ,5820.8 ,13871.7 ,28.7 ,93.7 
2022,제주대학교,국립,제주,2175 ,2102 ,648 ,9435 ,7.5 ,99.7 ,56.6 ,408 ,17.49 ,110.39 ,63.9 ,2608821.6 ,3927.2 ,20588.4 ,20.7 ,120.0 
